example input data to run RothC for a number of years
clay and depth are only needed once, other data is monthly jan-dec 
clay	depth	iom	nsteps			
13.0	25.0	3.0041	840
year	modern	Tmp	Rain	Evap	C inp	FYM	PC	DPM/RPM
1975	140.5	4.47	106.3	42.1	0	0	1	1.44
1975	140.5	8.3	71.2	74.2	0.262	0	1	1.44
1975	140.5	9.49	62.2	107.6	0.262	0	1	1.44
1975	140.5	13.95	34.1	117.2	0.262	0	1	1.44
1975	140.5	17.42	29.9	144.1	0.262	0	1	1.44
1975	140.5	18.5	9.8	115	0.262	0	1	1.44
1975	140.5	13.59	93.8	69.2	1.3098	0	1	1.44
1975	140.5	9.8	26.4	28	0	0	1	1.44
1975	140.5	5.48	34.8	6.9	0	0	1	1.44
1975	140.5	4.14	32.4	5.6	0	0	1	1.44
1976	138	5.34	24.1	15.8	0	0	1	1.44
1976	138	4.19	16.9	18.1	0	0	1	1.44
1976	138	4.49	18.7	46.1	0	0	1	1.44
1976	138	7.8	15.7	80.2	0	0	1	1.44
1976	138	12.3	27.7	123.4	0	0	1	1.44
1976	138	17.34	14.2	132.9	0	0	1	1.44
1976	138	18.35	23.7	134.7	0	0	1	1.44
1976	138	16.89	7	111.6	2.1775	0	1	1.44
1976	138	13.38	92.6	70.7	0	0	0	1.44
1976	138	10.8	108	40.4	0	0	0	1.44
1976	138	5.96	50.3	6.9	0	0	1	1.44
1976	138	1.59	97.7	-1.1	0	0	1	1.44
1977	134.8	2.54	64.5	4.6	0	0	0	1.44
1977	134.8	5.09	104.6	19.6	0	0	0	1.44
1977	134.8	6.72	51.9	48.1	0	0	0	1.44
1977	134.8	6.86	33.1	79.6	0	0	1	1.44
1977	134.8	9.85	35.1	104.5	0	0	1	1.44
1977	134.8	11.7	80	115.1	0	0	1	1.44
1977	134.8	15.49	5.9	132.2	0	0	1	1.44
1977	134.8	14.88	154.9	102.3	1.4073	0	1	1.44
1977	134.8	13.33	17.4	69.6	0	0	0	1.44
1977	134.8	11.47	28.2	33.8	0	0	0	1.44
1977	134.8	6.27	56.7	17.7	0	0	0	1.44
1977	134.8	5.76	59.3	9	0	0	0	1.44
1978	132.4	2.68	71	11.3	0	0	0	1.44
1978	132.4	2.43	52.6	16.4	0	0	0	1.44
1978	132.4	6.61	64.8	46.2	0	0	0	1.44
1978	132.4	6.19	49.9	72.2	0	0	1	1.44
1978	132.4	10.75	53.7	92.9	0	0	1	1.44
1978	132.4	13.5	53.9	119.7	0	0	1	1.44
